predict	actual
13	13
5	6
9	9
13	13
9	10
15	15
3	3
11	11
13	13
16	16
2	2
5	5
16	16
8	8
9	9
0	0
6	6
15	15
1	1
5	5
5	5
13	13
2	2
12	12
6	6
18	18
2	2
16	16
5	17
17	17
3	3
13	13
16	16
13	13
6	6
10	10
11	11
5	5
10	12
4	4
1	1
6	6
8	8
14	14
10	10
10	10
2	2
17	1
3	3
2	2
11	10
11	11
6	6
0	0
9	9
11	11
13	13
3	3
10	11
13	13
15	15
14	14
0	0
5	5
12	12
14	14
9	4
17	1
11	18
12	12
15	15
12	12
4	4
2	2
14	14
1	1
8	8
5	5
2	2
8	8
2	2
5	5
4	4
9	10
9	9
2	2
12	12
8	8
11	11
0	0
15	15
15	15
8	8
10	10
13	13
9	10
6	6
3	3
6	6
2	2
2	16
17	1
9	8
9	9
12	12
5	5
16	16
11	11
8	8
14	14
0	0
9	9
18	7
12	12
15	15
12	12
10	12
14	14
7	7
9	9
2	2
6	6
13	13
17	7
9	8
17	1
6	1
13	13
17	17
3	3
17	7
3	3
6	6
17	17
14	14
9	18
5	5
16	16
17	1
17	9
9	9
18	18
6	6
15	15
7	7
8	8
5	6
0	0
15	15
10	10
5	8
15	17
13	13
12	12
8	8
9	9
11	11
10	10
16	16
15	15
4	4
0	0
3	3
13	13
2	2
13	13
17	1
12	12
18	7
17	4
8	8
3	3
9	9
3	3
8	8
6	6
2	2
2	2
6	6
11	11
8	8
18	7
4	4
2	2
17	17
8	8
9	10
11	11
7	7
17	17
17	17
13	13
5	5
4	4
11	18
2	2
11	11
2	2
10	12
2	2
14	14
5	8
6	7
2	2
0	2
7	6
0	6
9	9
11	11
5	5
4	4
9	9
15	15
1	1
0	0
16	16
9	4
0	0
16	16
7	7
5	17
5	5
5	5
3	3
6	7
5	5
9	10
3	3
11	18
17	17
6	7
13	13
11	10
15	15
9	9
5	5
6	7
15	15
16	16
17	17
4	4
14	14
16	16
15	15
17	17
17	4
9	9
11	11
8	8
11	18
5	6
17	4
13	13
1	1
11	11
10	10
13	13
3	3
15	15
18	18
4	4
11	11
4	4
7	7
18	18
10	10
12	12
9	9
3	3
15	15
3	3
8	8
13	13
8	8
13	13
13	13
13	13
11	11
13	13
13	13
11	11
9	9
3	3
13	13
17	1
16	16
5	5
6	1
14	14
8	8
9	9
11	8
5	5
12	12
6	6
1	1
6	6
16	16
17	17
3	3
15	15
16	16
5	5
16	16
1	1
3	3
17	17
2	2
0	0
3	3
3	3
3	3
9	18
1	1
5	6
2	2
11	11
12	12
14	14
6	7
15	15
0	0
7	7
15	15
9	10
14	14
15	15
6	6
18	4
5	5
13	13
17	18
0	0
16	16
4	4
0	0
6	7
13	13
0	0
11	10
10	10
11	11
2	2
2	2
5	5
16	7
17	17
14	14
1	1
4	4
18	8
16	16
18	18
17	17
16	16
5	5
4	4
9	10
17	17
14	14
4	4
16	16
15	15
4	4
9	9
6	5
5	5
18	18
15	15
18	18
17	1
17	17
17	5
10	12
11	11
16	16
9	9
11	11
10	12
5	5
9	9
18	18
5	6
0	12
15	15
6	17
16	16
15	15
7	7
12	12
5	5
16	12
11	10
17	17
3	3
6	6
14	14
17	17
14	14
17	4
17	15
13	13
9	9
3	3
5	5
11	11
5	5
10	9
3	3
11	11
9	9
15	15
9	9
16	16
11	11
9	9
4	4
4	4
5	5
9	9
16	16
15	15
9	10
9	9
13	13
1	1
9	9
3	3
5	5
2	2
13	10
10	10
0	0
13	12
9	10
6	6
14	14
2	2
1	1
14	14
13	13
13	13
6	6
4	4
12	12
11	11
6	5
8	8
17	17
13	13
14	14
10	18
15	7
18	18
3	3
2	17
8	8
6	6
15	15
6	6
0	0
16	16
6	6
2	2
9	18
4	4
14	14
11	11
4	6
11	11
9	9
9	8
15	15
14	14
13	13
2	2
18	18
16	16
17	17
13	13
0	0
9	9
17	1
7	6
11	10
4	4
9	9
13	13
15	15
11	11
18	18
9	10
4	4
0	0
0	14
17	17
15	15
8	8
8	8
8	8
0	0
11	11
15	15
4	4
14	14
18	12
8	8
16	16
17	1
1	1
1	1
4	4
13	13
0	0
11	11
5	7
12	12
15	15
5	5
6	6
15	4
17	1
10	10
13	13
14	14
3	3
9	10
17	17
14	14
9	10
3	3
16	16
6	6
7	7
3	17
3	3
5	5
4	4
8	8
8	8
1	1
6	6
16	16
2	2
16	16
2	2
10	10
13	13
8	8
13	13
9	9
12	12
4	10
3	3
0	0
17	17
9	9
6	6
5	17
2	2
16	16
3	3
17	17
6	6
6	6
14	14
8	8
18	18
0	0
9	9
4	4
6	6
17	17
6	5
17	17
10	10
9	9
13	13
15	15
11	11
11	11
9	9
10	10
0	0
9	11
0	0
17	6
5	7
9	9
10	10
14	14
2	2
11	11
8	8
8	8
6	6
14	14
6	1
12	12
3	3
11	12
6	7
17	17
6	6
14	14
5	5
15	15
9	18
7	7
16	16
16	16
2	2
5	5
4	4
5	7
6	6
8	4
11	11
2	2
15	15
15	15
9	9
8	18
18	18
9	18
12	12
11	11
16	16
8	8
17	1
16	16
2	2
7	7
15	15
11	11
15	15
5	5
6	6
3	3
9	10
18	12
0	0
18	18
4	7
5	5
13	12
15	15
16	16
12	12
4	4
3	3
10	10
16	16
14	14
2	2
0	0
14	14
9	10
17	17
15	15
16	16
3	3
6	6
16	16
0	0
14	14
12	12
3	3
18	10
8	17
4	4
11	10
2	2
2	2
18	18
9	9
17	1
9	9
18	7
4	4
2	2
8	8
16	16
0	14
16	16
14	14
3	3
17	17
7	7
9	9
18	7
18	18
6	6
10	10
0	0
7	18
11	11
18	18
4	4
8	8
18	12
18	6
9	10
17	17
7	7
4	4
12	12
14	14
14	14
9	9
9	9
12	12
11	10
5	5
0	16
11	11
9	9
8	8
9	10
18	18
6	6
17	17
11	11
0	0
18	7
5	17
17	1
2	2
3	3
5	5
9	10
14	14
2	2
3	3
16	16
9	9
9	9
14	14
10	10
11	11
8	1
8	8
10	13
17	1
15	18
8	8
12	12
8	8
9	9
0	0
16	16
9	9
9	11
8	8
4	4
2	2
10	10
14	14
11	13
9	10
5	5
16	16
2	2
5	6
1	1
5	5
9	10
9	9
17	17
6	6
8	8
9	9
4	4
4	4
13	13
9	9
7	7
2	2
17	18
1	1
16	16
17	17
4	4
6	17
17	17
2	2
2	2
9	9
14	14
12	12
6	6
1	1
4	4
16	16
8	8
14	14
8	8
1	10
14	14
8	8
14	14
9	10
17	5
14	14
7	7
12	12
14	14
4	4
7	17
7	7
5	6
13	12
1	1
17	17
9	9
5	5
16	16
12	12
6	7
9	4
2	3
6	1
16	16
14	14
7	7
13	13
18	18
0	0
6	6
5	5
0	0
4	4
18	18
0	16
8	1
16	16
9	10
5	5
0	0
7	7
17	18
4	4
5	5
5	5
14	14
14	14
9	9
15	18
15	15
2	2
5	8
7	7
6	6
14	14
1	1
0	14
5	6
5	5
18	6
2	2
17	17
18	12
15	15
7	7
13	13
18	7
4	4
3	3
18	7
9	9
0	0
5	5
15	15
2	2
8	18
5	5
3	3
13	13
6	6
12	12
3	3
1	1
8	8
17	1
17	1
18	18
5	5
5	5
17	17
4	4
4	4
16	16
3	3
5	17
13	13
0	0
11	11
17	1
0	0
8	1
6	6
5	0
15	15
9	8
5	5
4	4
9	9
6	6
11	11
5	5
4	10
0	0
5	6
5	6
14	14
16	16
4	4
17	1
15	15
13	13
10	12
13	13
3	3
6	1
14	14
0	0
15	15
9	18
12	12
13	13
11	9
8	8
2	2
16	16
6	7
11	11
2	2
2	2
5	8
0	0
15	15
5	5
14	14
11	11
11	11
5	17
15	15
0	0
6	6
14	14
13	13
5	6
6	6
16	16
2	2
13	13
4	4
0	0
15	15
8	8
12	12
5	6
18	18
10	10
11	11
9	10
17	1
8	8
1	1
0	7
9	9
3	3
4	4
6	6
14	14
12	12
1	18
13	13
8	18
16	16
11	11
2	2
17	17
12	12
4	4
0	0
13	13
9	4
8	8
9	10
5	5
5	17
4	4
1	1
14	14
15	15
17	17
18	4
11	11
3	17
16	16
15	15
11	11
11	11
9	10
3	3
6	7
15	15
9	9
18	7
3	3
5	5
15	15
9	9
5	5
9	9
8	6
17	17
10	9
3	3
1	1
13	13
7	7
6	6
6	6
0	0
2	2
15	15
12	12
2	2
18	10
2	2
15	17
4	4
2	2
15	15
5	5
3	3
2	2
12	12
9	10
6	7
9	10
16	16
6	6
2	2
10	10
0	0
15	15
3	3
9	10
2	2
13	13
3	3
14	14
16	16
2	2
17	8
11	11
10	10
9	8
10	12
18	10
6	7
11	12
8	8
11	11
2	2
8	8
13	13
16	16
1	1
13	13
6	7
1	17
13	13
5	17
9	9
17	4
2	2
4	4
12	18
18	18
14	14
13	13
15	15
3	3
9	9
9	10
9	9
9	9
13	13
4	4
0	0
9	4
5	5
11	11
18	7
0	0
2	2
3	3
14	14
16	16
0	0
18	18
7	7
10	10
14	0
17	17
6	6
5	5
4	4
6	6
13	13
6	6
12	12
5	5
18	17
5	18
7	7
7	7
6	6
18	12
13	13
12	12
16	16
17	1
3	3
5	6
7	7
17	17
9	8
15	15
0	0
14	14
4	4
18	18
14	14
8	8
11	11
7	7
2	2
7	7
0	0
11	11
17	1
2	2
12	12
11	18
9	10
3	3
14	14
4	4
2	2
12	12
17	1
17	17
18	7
4	7
2	2
17	17
9	9
14	14
11	11
8	8
13	13
15	4
6	6
12	12
17	17
11	11
7	7
1	1
1	1
12	12
17	17
14	14
18	12
11	18
5	5
0	0
11	11
13	13
11	11
5	5
10	10
0	0
13	13
0	0
9	10
15	15
6	6
1	1
5	17
9	9
5	6
13	13
2	2
5	5
11	10
18	18
9	10
0	0
3	3
10	10
13	13
2	2
8	18
6	6
2	2
4	4
3	3
5	7
5	5
5	5
5	5
11	11
3	3
11	11
1	1
3	3
0	0
8	18
11	11
5	5
5	18
6	6
8	8
2	2
17	5
17	17
2	2
13	13
9	9
15	15
17	17
0	0
3	3
11	11
17	17
2	2
9	9
9	9
3	3
11	18
12	12
9	9
9	9
3	3
8	15
12	12
3	3
11	11
11	11
14	14
16	16
8	8
15	15
3	3
2	0
4	4
4	4
4	4
1	17
16	16
11	11
14	14
15	15
18	10
9	1
16	16
6	7
12	12
5	5
0	0
13	12
3	3
8	8
6	7
6	6
15	15
17	17
9	10
9	9
1	1
0	0
11	11
5	5
0	0
18	18
9	9
4	4
3	3
5	5
15	15
17	17
14	14
0	0
11	11
1	1
2	2
3	3
6	1
13	13
17	17
5	7
11	12
12	12
17	17
14	14
9	9
4	4
2	2
0	0
0	0
12	12
17	6
8	10
12	12
6	7
17	3
12	12
12	12
0	0
4	4
3	3
15	15
0	0
18	8
17	9
3	3
9	9
12	12
14	14
15	15
8	11
18	18
2	2
6	1
17	17
9	9
2	2
8	8
13	13
13	13
3	3
3	3
2	2
9	9
3	3
15	15
14	14
4	4
15	15
15	15
6	5
7	6
4	4
9	9
2	2
5	5
5	7
2	16
6	6
6	6
0	0
17	1
6	7
18	12
0	0
4	4
15	15
0	0
13	13
0	0
6	7
2	2
15	7
6	7
1	1
17	1
3	3
9	9
8	5
6	6
5	7
5	5
11	11
15	15
8	8
18	12
9	10
17	17
16	16
9	9
5	6
13	13
11	9
9	9
13	13
9	9
9	9
17	17
17	7
17	1
17	17
9	8
0	14
11	11
15	15
3	3
7	7
11	11
13	13
12	12
13	13
2	2
13	13
4	4
11	9
11	11
8	4
17	17
7	7
18	18
11	11
18	18
4	4
8	1
0	13
14	14
2	2
17	17
12	12
12	12
18	18
13	13
18	18
6	1
14	14
10	10
5	5
7	7
7	7
17	1
5	5
17	6
15	15
8	7
15	15
13	13
6	6
3	3
13	18
9	9
5	6
17	17
5	8
2	2
17	17
13	13
4	4
9	9
17	5
4	4
11	11
14	14
9	10
18	18
0	0
8	6
11	11
10	10
9	10
11	11
11	11
10	10
9	9
15	15
10	10
16	16
9	10
15	15
0	2
4	4
11	11
5	5
11	11
17	17
15	15
5	6
16	16
4	8
5	5
5	5
3	3
9	10
15	15
11	11
1	1
5	17
5	5
6	17
7	7
12	12
4	4
1	1
5	18
2	2
18	18
3	3
10	10
17	17
4	4
18	18
2	2
6	6
14	14
11	10
5	5
10	10
11	10
3	3
4	4
9	9
4	4
16	16
0	0
1	1
6	6
14	14
18	18
3	3
9	10
8	7
5	5
9	6
0	0
17	17
2	2
15	15
18	18
10	10
12	12
13	13
16	16
17	18
17	17
8	8
0	0
15	15
13	13
5	5
18	17
5	7
10	10
17	17
1	1
18	18
17	17
5	7
0	0
10	10
1	1
7	7
13	13
2	2
13	13
9	9
1	1
14	14
16	16
18	12
10	10
2	2
8	8
11	8
6	7
10	8
0	14
5	5
11	11
17	17
13	13
0	0
2	2
2	2
13	13
1	1
13	13
18	18
12	12
16	16
15	1
13	13
13	13
14	14
13	13
0	0
17	17
16	16
11	11
14	14
1	1
11	4
4	4
0	0
14	14
9	9
4	4
4	4
4	4
11	10
18	12
13	13
17	17
14	14
0	0
3	3
3	3
3	3
15	15
2	2
8	8
5	5
18	18
8	8
11	13
15	15
1	1
2	13
8	9
17	17
11	9
6	6
4	4
9	9
0	0
15	15
4	4
0	0
5	5
8	8
17	17
9	9
4	4
13	13
0	0
2	2
17	1
4	4
5	5
6	6
9	9
6	1
8	8
17	17
11	11
10	10
16	16
12	12
2	2
11	11
0	0
0	0
17	15
12	12
12	12
10	10
1	17
3	3
16	16
10	15
0	0
5	5
11	11
6	17
10	10
18	18
12	12
11	11
5	7
4	4
17	1
14	14
3	3
18	7
15	15
13	13
17	1
14	14
5	5
18	7
1	1
14	0
17	17
16	16
5	6
14	14
0	0
7	17
17	1
9	9
8	8
15	15
9	4
16	16
4	4
18	18
4	4
9	9
16	16
5	5
7	7
0	0
17	17
18	18
5	5
17	17
6	6
16	16
5	5
13	13
14	14
17	17
16	16
5	5
7	7
5	5
8	6
13	13
2	2
12	12
17	17
1	1
5	7
10	10
9	10
0	0
12	12
15	15
2	2
4	4
1	1
2	2
0	0
6	6
10	12
1	1
8	8
0	6
12	12
13	11
8	8
5	5
7	7
6	6
2	2
9	9
18	18
6	6
16	16
9	9
16	16
12	12
14	14
8	8
6	6
16	16
5	5
17	1
7	7
7	18
1	1
14	14
9	9
3	3
17	17
9	10
17	1
2	2
17	18
13	13
16	16
15	15
0	0
4	8
16	16
3	3
6	7
15	15
5	8
5	17
2	2
9	4
14	14
18	18
3	3
2	2
9	9
10	10
7	7
16	16
18	12
3	3
14	14
15	15
7	7
18	18
13	13
9	4
9	9
7	7
14	14
14	14
3	3
6	6
14	14
2	2
5	6
2	2
5	5
18	18
2	2
4	4
9	10
11	9
11	11
7	7
2	2
4	18
14	14
14	14
9	9
7	7
10	10
8	8
15	15
9	11
15	15
8	8
4	7
17	17
5	5
12	12
16	16
15	15
12	12
17	17
1	1
9	9
4	4
9	9
15	15
6	6
18	18
17	17
2	2
8	8
16	16
5	5
17	17
16	16
13	12
9	9
4	4
3	3
11	11
2	2
13	13
8	9
8	8
13	12
8	18
11	18
13	13
14	14
8	6
18	18
14	14
0	0
8	8
5	5
2	2
14	14
11	11
3	3
3	3
3	3
6	6
18	18
10	10
6	7
1	1
16	16
4	6
11	11
9	9
9	10
12	12
11	11
17	17
5	7
9	9
9	10
9	8
7	7
6	7
11	11
16	16
0	0
17	7
2	2
6	6
5	18
5	6
5	8
1	1
8	8
6	6
10	10
12	12
17	7
12	13
16	16
7	7
4	4
11	11
5	5
11	9
6	6
3	3
18	18
11	11
3	3
16	16
16	16
17	17
2	2
7	18
15	15
12	12
18	18
3	3
12	12
0	0
9	9
9	10
15	15
11	10
5	18
6	6
13	13
6	7
11	11
8	8
4	4
4	4
3	3
9	4
11	10
17	4
7	7
9	10
14	14
15	15
13	13
1	1
18	18
14	14
17	1
3	3
8	8
7	7
3	3
13	12
16	16
9	9
9	9
16	16
11	11
15	15
5	5
0	0
5	8
3	3
8	8
4	6
15	15
9	8
17	17
10	12
1	1
8	8
4	4
17	7
14	14
1	1
17	17
3	3
4	4
12	12
14	14
9	10
16	16
15	15
16	16
17	5
10	9
4	4
2	2
17	1
18	18
9	11
8	8
4	4
9	9
16	16
15	15
8	8
3	3
17	17
6	6
17	18
14	14
0	2
2	2
8	8
17	1
18	8
6	6
2	2
2	3
1	1
17	7
14	14
17	6
18	12
18	18
9	10
11	11
17	17
4	4
13	13
18	18
17	1
9	9
13	13
0	0
14	14
6	6
16	2
0	0
13	13
14	14
9	10
5	5
12	12
13	9
9	9
6	6
5	5
9	10
16	16
11	10
9	10
6	1
17	1
16	16
0	0
8	8
2	2
11	10
12	12
18	6
16	16
12	12
1	1
16	16
5	5
17	6
2	2
2	2
13	13
8	4
15	15
6	7
2	2
17	17
18	18
16	16
11	11
14	14
9	9
2	2
0	0
11	10
12	12
2	2
13	12
15	15
9	9
18	18
17	5
15	15
0	0
11	11
4	4
17	18
2	2
13	13
6	6
6	6
5	5
18	18
11	11
0	0
2	2
3	3
2	2
18	18
0	14
13	13
13	13
3	3
7	7
15	15
15	15
16	16
11	11
17	1
14	14
7	7
9	1
5	5
17	1
10	10
11	11
15	15
8	8
13	13
9	11
9	9
2	2
9	9
17	17
14	14
3	3
5	5
17	7
11	11
5	6
16	16
17	6
12	12
5	6
5	5
14	14
2	2
2	2
14	14
14	14
14	14
9	11
15	15
11	11
3	3
0	0
5	5
8	17
18	11
15	15
8	8
5	5
13	13
14	14
12	12
4	4
13	13
16	16
13	13
0	0
18	18
5	6
18	18
9	9
18	18
8	8
18	18
18	12
15	15
14	14
13	13
3	3
4	4
9	9
3	3
10	12
13	13
1	1
16	16
9	4
8	8
12	12
14	14
15	15
0	0
13	13
18	13
10	10
13	13
11	10
10	9
2	2
11	11
7	7
5	0
2	2
3	3
18	18
9	11
13	13
5	7
16	16
6	6
3	3
6	6
4	4
17	17
8	8
3	3
9	10
17	1
2	2
14	14
14	14
7	7
18	13
17	17
8	8
6	6
14	14
16	16
17	8
8	8
8	7
9	9
4	4
6	7
2	2
1	1
18	7
9	10
17	17
13	13
3	3
14	14
5	5
13	13
13	13
10	10
13	13
0	0
18	6
6	7
0	0
5	5
15	15
4	4
5	5
13	13
13	18
9	9
5	7
13	13
5	5
6	6
11	11
3	3
13	13
18	18
0	0
12	12
9	9
11	11
7	7
9	4
17	17
5	5
15	15
5	5
1	1
1	1
9	10
16	16
17	17
9	10
0	5
15	15
17	4
18	17
12	12
14	14
15	15
13	13
5	5
4	4
16	16
16	16
6	7
11	13
12	12
14	14
17	1
5	5
17	17
11	18
0	14
12	12
14	14
5	5
3	3
10	10
17	17
0	0
2	2
10	11
6	6
11	11
10	10
18	10
16	16
9	9
2	2
10	10
6	6
13	13
18	18
10	10
16	16
15	15
1	1
9	9
0	12
14	14
13	13
18	18
12	13
17	3
7	7
15	15
14	14
16	16
3	3
8	8
9	9
3	3
4	4
6	6
0	0
16	16
9	10
11	10
9	9
9	1
8	8
3	3
9	9
2	2
5	5
11	11
12	12
14	14
11	12
16	16
0	0
15	15
4	4
18	18
15	15
13	13
5	5
2	2
10	12
10	12
3	3
14	14
3	3
0	0
0	0
3	3
17	9
6	6
5	5
11	12
18	6
11	11
3	3
1	1
9	10
13	13
16	16
9	9
3	3
0	0
12	12
5	6
0	0
6	1
6	1
16	16
12	12
3	3
6	6
9	9
9	10
5	5
5	6
4	4
18	6
16	16
13	13
6	6
7	7
5	5
13	13
13	13
6	6
9	9
9	10
5	5
14	14
9	10
3	3
1	1
14	14
8	8
17	17
1	1
11	11
4	4
16	16
0	0
0	14
13	13
9	17
3	3
18	8
10	10
18	18
15	15
0	0
9	11
5	5
4	4
13	13
17	4
15	15
9	11
7	7
4	9
17	18
17	1
11	11
6	6
2	2
13	13
11	11
7	7
17	5
8	8
9	10
12	12
14	14
9	9
14	14
18	7
3	3
11	11
11	11
2	2
4	4
0	0
14	14
12	12
15	18
0	0
12	12
5	6
15	15
5	5
13	13
2	2
9	9
10	10
6	6
11	18
4	4
14	14
15	15
4	4
2	2
18	18
9	9
2	2
0	0
15	15
3	3
17	17
16	16
8	8
15	15
11	10
12	12
13	13
17	8
16	16
17	17
17	4
0	0
6	6
12	12
15	15
18	17
16	16
6	6
13	13
14	14
14	14
17	4
0	0
6	6
11	11
16	16
9	9
18	18
8	8
0	0
7	18
2	2
13	13
12	12
11	11
11	18
5	7
3	3
16	16
15	15
6	6
13	13
12	12
13	13
15	15
13	13
9	10
4	4
1	18
2	2
13	13
5	5
9	10
13	13
15	15
18	7
9	9
3	3
9	9
18	18
0	0
7	7
16	16
4	4
3	3
17	18
10	10
16	16
9	9
17	17
8	6
0	0
1	1
1	1
8	8
17	17
16	16
6	6
2	2
12	12
7	7
12	12
9	9
8	17
17	17
17	1
2	2
4	4
4	4
0	0
14	14
9	10
18	18
18	7
4	4
9	9
18	7
13	13
9	9
7	7
9	9
14	14
18	18
1	1
14	14
9	9
18	11
14	14
11	12
6	7
2	2
8	8
4	4
6	6
0	0
5	8
12	12
18	18
18	12
3	3
18	18
8	8
11	11
17	17
12	12
5	5
11	11
11	11
1	1
4	4
14	14
6	6
2	2
14	14
16	16
6	6
12	12
9	13
0	0
10	10
0	0
11	10
6	6
0	0
13	13
6	6
13	13
17	17
5	0
5	6
6	6
16	16
14	14
7	7
0	0
9	9
16	16
5	8
3	3
0	0
9	9
17	1
9	9
11	11
0	0
5	5
0	0
5	5
3	3
6	7
11	11
10	10
0	2
10	10
5	5
18	12
0	0
15	15
11	11
8	8
0	0
5	6
0	0
4	4
6	6
4	4
9	10
12	12
6	1
6	7
17	17
15	17
2	2
3	7
14	14
14	14
8	8
14	14
2	2
3	3
5	5
17	1
2	2
13	13
9	18
3	3
5	6
18	18
16	16
1	1
13	13
4	4
6	6
17	1
16	14
6	6
5	5
17	17
15	15
16	16
6	6
11	11
13	12
4	4
18	12
18	12
9	9
8	8
6	6
2	2
17	17
0	0
16	16
6	6
5	17
17	17
8	8
5	5
3	3
0	0
1	1
16	16
5	5
2	2
11	8
5	5
14	14
11	9
12	12
0	0
10	10
8	8
5	5
15	15
13	13
10	10
6	6
6	6
1	1
16	16
5	5
8	18
7	7
7	7
6	6
10	10
18	18
0	0
14	14
8	8
1	1
18	12
13	13
17	1
11	11
17	17
9	9
14	14
17	1
16	16
9	9
14	14
8	8
11	7
8	8
6	7
1	1
14	14
18	12
16	16
4	4
4	4
9	10
14	14
13	13
5	4
11	11
6	7
14	14
7	7
9	9
14	14
13	13
12	12
4	4
8	8
5	6
1	1
15	15
2	2
13	13
12	12
10	10
4	4
15	15
9	10
9	11
2	2
4	4
10	10
14	14
16	16
11	11
15	15
11	11
8	8
18	18
12	12
5	5
15	15
17	17
0	0
9	11
14	14
15	15
7	7
12	12
4	4
13	13
17	17
10	10
17	1
5	5
6	6
4	4
17	6
4	4
3	3
13	13
1	1
4	8
13	13
15	15
17	6
0	0
8	18
6	6
12	12
13	13
4	4
14	14
17	1
2	2
3	3
0	0
0	0
10	10
15	15
12	12
15	15
0	0
14	14
6	6
13	13
11	11
13	13
2	2
2	2
9	11
16	16
6	7
16	16
7	7
5	5
18	18
9	9
13	13
11	11
12	12
11	18
17	17
5	5
11	11
15	15
16	16
12	12
3	3
3	3
9	9
8	8
2	2
8	8
5	5
0	0
16	16
4	18
18	5
18	18
13	13
18	12
1	1
8	8
9	9
18	18
17	17
9	9
13	13
13	13
3	3
11	10
13	13
18	18
18	18
14	14
6	6
17	17
5	1
9	11
1	1
17	17
14	14
11	11
11	11
6	6
5	5
13	13
8	8
8	8
2	2
8	8
14	14
15	15
4	4
8	8
5	17
9	9
15	15
8	10
9	9
3	3
8	8
4	4
2	2
3	3
17	17
14	14
9	10
0	0
5	14
1	1
7	6
13	13
5	14
4	4
12	12
3	3
1	1
0	0
3	3
3	3
8	8
0	0
13	12
5	5
13	13
0	0
18	18
8	8
7	17
6	1
6	6
13	12
16	16
12	13
16	16
14	14
13	13
16	16
0	0
4	4
5	0
18	18
6	6
0	0
11	9
2	2
10	12
11	9
0	0
5	5
9	9
6	17
14	14
11	11
9	9
4	4
14	14
18	12
5	5
11	13
1	1
13	13
11	11
16	16
7	7
11	11
17	1
16	16
6	6
4	4
12	12
1	1
14	14
17	17
2	2
12	12
18	18
2	2
3	3
11	11
9	11
13	13
10	9
9	10
3	3
17	17
9	10
5	6
9	9
2	2
16	16
6	7
2	2
12	12
9	9
14	14
2	2
11	11
5	5
11	11
11	11
3	3
3	3
2	2
17	17
5	5
9	10
0	0
5	5
8	8
9	9
14	14
9	9
2	2
9	11
4	4
0	0
7	7
7	6
12	12
12	12
11	11
17	17
17	17
11	11
6	6
12	18
9	9
2	2
4	4
15	15
15	15
16	16
11	11
16	16
9	11
16	16
3	3
4	4
11	11
18	18
5	5
6	7
0	0
15	15
17	1
5	18
11	11
9	10
9	9
4	4
14	14
0	0
11	11
10	10
17	1
12	12
18	18
11	11
6	6
17	18
17	17
8	8
11	11
2	2
11	11
16	16
4	7
15	15
0	0
17	17
9	9
1	1
2	2
18	18
11	11
9	9
0	0
2	2
0	0
1	18
0	0
4	4
11	11
18	18
11	8
0	0
10	12
4	4
12	12
11	11
18	11
18	18
9	12
3	3
4	4
8	1
9	9
15	15
18	18
9	9
17	17
14	14
17	1
0	0
1	1
10	9
8	8
8	1
4	3
14	14
10	10
2	2
15	15
3	3
8	8
18	12
11	12
18	18
10	10
17	17
2	2
4	4
0	0
9	18
3	3
6	6
7	7
9	1
16	16
16	16
0	0
18	18
16	16
10	10
9	10
5	7
5	5
8	8
15	15
9	10
13	13
8	8
17	17
14	14
16	16
5	7
0	0
18	12
0	0
8	8
5	5
4	7
18	8
6	6
15	15
18	18
6	1
9	9
6	7
13	13
9	9
9	9
9	9
0	0
6	7
2	2
2	2
17	17
1	1
15	15
4	4
9	9
17	1
9	4
4	10
12	12
7	7
2	2
9	10
17	17
9	9
8	8
17	17
8	8
9	10
2	2
5	5
9	10
9	10
9	9
6	7
11	11
13	13
5	7
1	1
1	1
5	5
8	8
4	4
9	9
11	10
7	7
18	18
5	5
6	6
5	5
9	10
2	2
10	12
0	0
12	12
14	14
5	5
8	8
0	0
15	15
12	12
9	4
11	8
15	15
11	9
3	3
9	4
5	5
18	7
3	3
13	13
8	8
13	13
4	4
11	11
9	11
17	18
9	9
3	3
17	17
2	2
3	3
17	4
7	7
5	5
0	0
18	18
2	2
17	17
3	3
11	11
7	7
18	18
6	1
11	11
2	2
5	5
5	18
3	3
15	15
9	9
0	0
1	1
11	11
3	3
5	5
11	11
11	11
14	14
17	8
15	15
7	7
17	7
15	15
18	12
9	9
4	4
13	13
5	8
8	1
0	0
16	16
11	11
5	7
4	4
17	18
16	16
18	18
8	10
4	4
18	18
17	3
13	13
0	0
9	9
1	1
11	11
13	13
5	5
9	9
6	6
6	6
4	4
16	16
3	3
10	10
11	11
3	3
6	6
3	3
16	16
16	16
10	12
3	3
6	1
0	0
14	14
10	10
11	11
9	10
13	13
11	11
9	4
16	16
13	13
17	17
18	12
6	7
12	13
12	12
14	14
16	16
15	17
14	14
2	2
9	18
7	17
18	18
9	18
18	7
9	10
13	13
8	8
6	6
5	8
11	10
18	7
1	1
2	2
6	7
17	17
8	8
17	1
9	10
12	12
15	15
2	2
5	7
12	12
14	14
17	17
5	5
14	14
13	13
16	16
14	14
17	1
1	4
18	18
12	12
13	13
14	14
11	11
17	17
9	10
18	18
8	9
11	11
6	1
0	0
4	4
16	16
17	17
15	15
6	6
4	4
5	6
1	1
2	2
5	5
12	12
3	3
15	15
2	2
5	0
12	12
8	8
15	15
15	15
11	18
9	9
11	11
17	7
15	15
7	7
8	8
14	14
12	18
5	5
6	6
6	7
15	15
13	12
2	2
18	18
12	12
9	9
6	6
2	2
0	0
8	17
18	1
9	10
16	16
14	14
17	17
11	11
17	7
8	8
12	18
9	10
10	10
17	9
2	2
9	10
16	16
10	10
14	14
11	11
5	5
14	14
1	1
12	12
